Index,Name,Overall_Rating,Cuisine,Rate for two,City,Review,sentiment
140,Jamie's Pizzeria By Jamie Oliver,3.7,"Cafe, Coffee, Salad, Fast Food, Pizza, Italian, Desserts, Beverages",700,pune,ordered items fish really greasy fish tasted old frozen would suggest fried products seems like frozen ends tasting really pizza nice crust decent tasting pizza pretty standard think pizza might good choice seems specialty lemon ginger refreshing summery drink heavier ginger flavour like might enjoy please improve fish fingers really disappointing,neutral
141,IKOV Art Cafe Studio,,"Cafe, Sandwich, Desserts, Beverages",300,pune,loved vibe place good place hangout friends family quick bites available munching,neutral
142,Cafe Nadora By Sneha,,"Cafe, Bakery, Fast Food, Sandwich, Coffee",600,pune,twice visited nadora excellent vibe calm serene great place good conversations excellent quality food place clean classy decent enough space good lighting location cozy hot chocolate best vietnamese coffee amazing croissants lovely full sandwiches focaccia bread bomb continue visit nadora especially hot chocolate yet try sweet items shelf well,neutral
143,Cafe Nadora By Sneha,,"Cafe, Bakery, Fast Food, Sandwich, Coffee",600,pune,everything absolutely great especially caprese sandwich croissant pickled pear goat cheese acquired taste probably something liked could definitely someone else cup tea great food overall,neutral
144,Cafe Peter,4.0,"Cafe, Tea, Beverages, Continental, Japanese, Sandwich, Fast Food, Desserts",950,pune,get ramen without veg stock mentioned dont add mushrooms added,positive
145,Cafe Peter,4.0,"Cafe, Tea, Beverages, Continental, Japanese, Sandwich, Fast Food, Desserts",950,pune,received ramen without veg stock,positive
146,The Burger Barn Cafe,3.4,"Cafe, Shake, Beverages, Burger, American, Sandwich, Fast Food, Salad",950,pune,nice ambience rooftop cafe maintained taste quality outlets pune past several veggie burger mexican style extreme burger chilly chesse fries,neutral
147,The Burger Barn Cafe,3.4,"Cafe, Shake, Beverages, Burger, American, Sandwich, Fast Food, Salad",950,pune,fav burger,neutral
148,The Burger Barn Cafe,3.4,"Cafe, Shake, Beverages, Burger, American, Sandwich, Fast Food, Salad",950,pune,portion size good taste quality improved considering price point,neutral
149,Hustle Snooker Cafe Bistro,3.9,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",500,pune,pizza cold good shape whole pizza weird taste,neutral
150,Hustle Snooker Cafe Bistro,3.9,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",500,pune,best cold coffee,neutral
151,Brooster Coffeespot,3.7,"Cafe, Coffee, Tea, Sandwich, Salad, Pizza, Desserts","1,250",pune,brooster situated kalyani nagar beautiful cafe great interiors huge windows amazing food coffee must must visit,neutral
152,Brooster Coffeespot,3.7,"Cafe, Coffee, Tea, Sandwich, Salad, Pizza, Desserts","1,250",pune,good ambience vibe menu decent variety seems little narrow spectrum general worked maybe wo someone lesser wide coffee good however match half look terms taste knew ordering knew standard dish would server confirmation could explain kept saying cream whipped cream kind wo cream also works ca trust someone food know dishes tasted decent avocado toast borderline average shakshuka sure tiramisu iced latte great great iced coffee read,neutral
153,K.K's Cafe,,"Sandwich, Fast Food, Street Food, Pizza, Burger, Tea, Coffee, Cafe",500,pune,taste good,neutral
154,Aeka Coffee,3.9,"Cafe, Coffee, Fast Food",500,pune,solo espresso shot pure energy intense flavor rich crema evident coffee beans high quality,neutral
155,Aeka Coffee,3.9,"Cafe, Coffee, Fast Food",500,pune,americano coffee arrived piping hot boost start day flavor bold robust like delivery quick ensured got coffee fix right time,neutral
156,Aeka Coffee,3.9,"Cafe, Coffee, Fast Food",500,pune,paneer wrap mouthwatering delight paneer combined perfectly fresh veggies sauce,neutral
157,Aeka Coffee,3.9,"Cafe, Coffee, Fast Food",500,pune,olive jalapeno croissant perfect blend savory spicy flavors croissant flaky filled delicious olives jalapenos,neutral
158,Aeka Coffee,3.9,"Cafe, Coffee, Fast Food",500,pune,mushroom sandwich delightful surprise savory mushrooms flavorful sauce made sandwich stand arrived promptly taste exceeded expectations,neutral
159,La Segreto Cafe And Resto,,"Cafe, Coffee, Burger, Pizza, Pasta, Italian, Fast Food, Beverages",500,pune,must visit place,neutral
160,La Segreto Cafe And Resto,,"Cafe, Coffee, Burger, Pizza, Pasta, Italian, Fast Food, Beverages",500,pune,loved food ambiance exotic touch jazz music background must visit cafe co working space well,neutral
161,La Segreto Cafe And Resto,,"Cafe, Coffee, Burger, Pizza, Pasta, Italian, Fast Food, Beverages",500,pune,quality food awesome taste pizza superb really appreciate customer satisfaction keep,neutral
162,Ambrosia Patisserie & Cafe - Ambrosia Resort & Spa,3.9,"Cafe, Bakery, Beverages, Desserts",600,pune,ambrosia really quiet nice area surrounded lots trees make feel like jungle nice location want escape bustle city food compromising food quality quantity excellent vegetarian meal options must visit place friends family,neutral
163,Ambrosia Patisserie & Cafe - Ambrosia Resort & Spa,3.9,"Cafe, Bakery, Beverages, Desserts",600,pune,loved starters veg biriyani,neutral
164,Ambrosia Patisserie & Cafe - Ambrosia Resort & Spa,3.9,"Cafe, Bakery, Beverages, Desserts",600,pune,enjoy beautiful cuisine beautiful resort bavdhan pune place spiritual vibes also place located heaven nature like lunch hear echo peacock excellent ambience reasonable rates good quality food visit resort,neutral
165,Ambrozia Cafe And Patisserie,4.2,"Cafe, Bakery, Italian, Pizza, Sandwich, Fast Food, Desserts, Beverages",500,pune,love place ambiance sinful molten chocolate masterpiece full yet ca stop,positive
166,Ambrozia Cafe And Patisserie,4.2,"Cafe, Bakery, Italian, Pizza, Sandwich, Fast Food, Desserts, Beverages",500,pune,macrons broken,positive
167,Cafe Da Al Forno,3.9,"Cafe, Fast Food, Pizza, Pasta, Sandwich, Beverages",350,pune,ok rating think fake rating please guys buy,neutral
168,Cafe Fairytale,,"Cafe, Fast Food",300,pune,chef special baked mac cheese exquisite,neutral
169,Cafe Fairytale,,"Cafe, Fast Food",300,pune,food ambience nice,neutral
170,Daily Treats - The Westin Pune,4.2,"Cafe, Continental, Beverages, Desserts","1,800",pune,sensational place favorite star hotels must visit,positive
171,BREWBURG,,"Cafe, Coffee, Fast Food, Burger, Beverages",550,pune,enjoyed,neutral
172,Cocoa Patisserie and Bakery,4.1,"Bakery, Cafe, Desserts",250,pune,fine,positive
173,Cocoa Patisserie and Bakery,4.1,"Bakery, Cafe, Desserts",250,pune,cupcakes melted fallen side ways,positive
174,Cocoa Patisserie and Bakery,4.1,"Bakery, Cafe, Desserts",250,pune,cake quality awesome delivered cake good condition mess kindly look u,positive
175,Cafe From The Tree,4.3,"Cafe, Beverages, Desserts, Italian, Fast Food, Pasta, Pizza",850,pune,horrible portion size serve rupees slap face,positive
176,Cafe From The Tree,4.3,"Cafe, Beverages, Desserts, Italian, Fast Food, Pasta, Pizza",850,pune,pizza came tangled messy even cut pieces,positive
177,Cafe From The Tree,4.3,"Cafe, Beverages, Desserts, Italian, Fast Food, Pasta, Pizza",850,pune,pizza sliced,positive
178,De Baillio,4.0,"Cafe, Bakery, Fast Food, Beverages, Desserts",550,pune,taken cakes pastries many times better option cake shops baner good options great taste,positive
179,De Baillio,4.0,"Cafe, Bakery, Fast Food, Beverages, Desserts",550,pune,received pastry instead coffee,positive
180,De Baillio,4.0,"Cafe, Bakery, Fast Food, Beverages, Desserts",550,pune,yummy,positive
181,De Baillio,4.0,"Cafe, Bakery, Fast Food, Beverages, Desserts",550,pune,surprised placed order shop called de baillio whereas cake got delivered shop called bailey ha e started deliver shop choice rather customer,positive
182,Words & Sips Book Cafe,3.2,"Cafe, Fast Food, Chinese, Beverages",550,pune,food quality taste nice prices much similar cafes fc sitting different sofas preety cool definitelyfind peace free wifi charge rs per person entry fee adjust bill,neutral
183,Salisbury Swiss Cafe,3.1,"Cafe, Sandwich, Pizza, Fast Food, Shake, Coffee, Beverages",950,pune,worst place ever told us wait minutes made us wait minutes still table management worst service one could possibly imagine,neutral
184,Salisbury Swiss Cafe,3.1,"Cafe, Sandwich, Pizza, Fast Food, Shake, Coffee, Beverages",950,pune,ordered taste presentation order top also reasonable considering taste portion size,neutral
185,Crazy Cheesy Cafe,3.6,"Cafe, Coffee, Pizza, Italian, Fast Food, Burger, Sandwich, Beverages",500,pune,good del barone pasta,neutral
186,Journey,4.0,"North Indian, Cafe, Coffee, Chinese, Continental, Oriental, Biryani, Italian","1,000",pune,curry great rice served made much oil oil smelled wierd,positive
187,Journey,4.0,"North Indian, Cafe, Coffee, Chinese, Continental, Oriental, Biryani, Italian","1,000",pune,ordered chilli garlic noodles manchurian gravy chicken good,positive
188,Journey,4.0,"North Indian, Cafe, Coffee, Chinese, Continental, Oriental, Biryani, Italian","1,000",pune,chicken cooked properly smells bad,positive
189,Kallyfso Cafe,4.0,"Cafe, Fast Food, Burger, Pasta, Sandwich, Pizza, Beverages, Shake",700,pune,food delivered minutes quite late compared fries soggy,positive
190,Kallyfso Cafe,4.0,"Cafe, Fast Food, Burger, Pasta, Sandwich, Pizza, Beverages, Shake",700,pune,delicious food taste loved pasta grilled sandwiches,positive
191,Chai Coffee Charcha,4.2,"Cafe, North Indian, Chinese, Pizza, Burger, Sandwich",700,pune,specifically called restaurant asked add corn flour veg clear soup soup patient still added cornflour,positive
192,Chai Coffee Charcha,4.2,"Cafe, North Indian, Chinese, Pizza, Burger, Sandwich",700,pune,nice,positive
193,BICE - The Cake Shop & Cafe,3.9,"Cafe, Coffee, Desserts, Shake, Beverages, Sandwich, Fast Food, Bakery",500,pune,coffee cold,neutral
194,BICE - The Cake Shop & Cafe,3.9,"Cafe, Coffee, Desserts, Shake, Beverages, Sandwich, Fast Food, Bakery",500,pune,amazing place hangout friends speciality cakes pastries cold coffee fries snacks actually everything,neutral
195,BICE - The Cake Shop & Cafe,3.9,"Cafe, Coffee, Desserts, Shake, Beverages, Sandwich, Fast Food, Bakery",500,pune,bice cake shop one stop destination customisable cakes started two girls relentlessly worked hard bring standards others reach good work,neutral
196,McCafe by McDonald's,3.4,"Cafe, Coffee, Shake, Fast Food, Desserts",350,pune,delivery partner change gave less money got cigarette money,neutral
197,McCafe by McDonald's,3.4,"Cafe, Coffee, Shake, Fast Food, Desserts",350,pune,awesome lovin opens late morning like mumbai open early morning pune lazy ppl,neutral
198,McCafe by McDonald's,3.4,"Cafe, Coffee, Shake, Fast Food, Desserts",350,pune,paid half cups joke need money back,neutral
199,Cafe Milano,3.4,"Cafe, Italian, Fast Food, Beverages",600,pune,food tasty mixed kinda pasta order alfredo also found hair food,neutral
200,Cafe Milano,3.4,"Cafe, Italian, Fast Food, Beverages",600,pune,good service,neutral
201,Cafe Milano,3.4,"Cafe, Italian, Fast Food, Beverages",600,pune,single use plastic container straw appreciate could replaced something sustainable,neutral
202,Gold Rush Cafe,3.9,"Cafe, Fast Food, Beverages, Desserts, Shake",650,pune,good taste price worth seats servicemany extra items added taste,neutral
203,Gold Rush Cafe,3.9,"Cafe, Fast Food, Beverages, Desserts, Shake",650,pune,best quality tasty food well fresh food satisfied quality freshness food,neutral
204,Cafe Gupshup,3.6,"Cafe, Fast Food, Coffee, Burger, Sandwich",300,pune,said opens till midnight went closed update timing never gon na come recommend anybody,neutral
205,Cafe Gupshup,3.6,"Cafe, Fast Food, Coffee, Burger, Sandwich",300,pune,guys must visit place interior nice made use feel welcomed time service food serve fresh taste amazing,neutral
206,Cafe Gupshup,3.6,"Cafe, Fast Food, Coffee, Burger, Sandwich",300,pune,welcoming cafe hosts funny interactive timely service also covid protocols followed gently,neutral
207,Cafe Canephora,3.5,"Cafe, Coffee, Burger, Fast Food, Ice Cream, Shake, Beverages",400,pune,amazing cafe students near cummins college road karvenagar affordable prices great menu cozy little place nicely decorated good staff people liked french fries coffee,neutral
208,Cafe Canephora,3.5,"Cafe, Coffee, Burger, Fast Food, Ice Cream, Shake, Beverages",400,pune,cafe good n place good go love ones,neutral
209,Cafe Canephora,3.5,"Cafe, Coffee, Burger, Fast Food, Ice Cream, Shake, Beverages",400,pune,small cozy place french fries peri peri serve best must try cold coffee great iced tea good,neutral
210,Café De Conta,3.3,"Cafe, Italian, Fast Food, Beverages",700,pune,awful packing coffee spilled container called bun maska coffee tasted hazelnut neither hot chocolate,neutral
211,Café De Conta,3.3,"Cafe, Italian, Fast Food, Beverages",700,pune,food sent utter cold single piece hot,neutral
212,Café De Conta,3.3,"Cafe, Italian, Fast Food, Beverages",700,pune,best place nibm comes ambience service food also amazing pretty decent price love place,neutral
213,Cream And Crush,3.7,"Cafe, Sandwich, Fast Food, Beverages, Shake",250,pune,service really nice njoyed lot frnds staff also polite first prefered cafe area coffee items get good quality also also pocket,neutral
214,Cream And Crush,3.7,"Cafe, Sandwich, Fast Food, Beverages, Shake",250,pune,love spicy food friend got place taste peri peri fries amazingly spicy one likes spicy fries definitely visit place pocket friendly cafe,neutral
215,Cafe Cremyday,2.7,"Cafe, Fast Food, Desserts, Beverages, Street Food, Momos, Sichuan",500,pune,friend visited outlet yesterday eat veg masala grilled sandwich burgers fries anjeer mastani taste good masala inside sandwich normal rest food fine taste wise,neutral
216,Cafe Cremyday,2.7,"Cafe, Fast Food, Desserts, Beverages, Street Food, Momos, Sichuan",500,pune,staff rude uncooperative food also good eating vomiting days git infection service also slow insects everywhere flying abilities sit plate anytime place also unhygienic,neutral
217,Cafe Cremyday,2.7,"Cafe, Fast Food, Desserts, Beverages, Street Food, Momos, Sichuan",500,pune,food tasty like visit place every time cava best must try combos amazing maggi nornal cheeze vegetable amazing like eat fries nice lot quantity must visit,neutral
218,Cafe Cremyday,2.7,"Cafe, Fast Food, Desserts, Beverages, Street Food, Momos, Sichuan",500,pune,visited place yesterday nice place hangout friends ordered cawa crush combo decent like taste staff polite,neutral
219,Reminisce Cafe,3.1,"Cafe, Coffee, Sandwich, Pasta, Burger, Pizza, Fast Food, Beverages",650,pune,ordered oreo shake cheese fries good quality taste yummy must visit love visit,neutral
220,Reminisce Cafe,3.1,"Cafe, Coffee, Sandwich, Pasta, Burger, Pizza, Fast Food, Beverages",650,pune,found hair strand bite spoiled mood taste also good,neutral
221,Reminisce Cafe,3.1,"Cafe, Coffee, Sandwich, Pasta, Burger, Pizza, Fast Food, Beverages",650,pune,best cafe ever proper maintained hygiene feedback taken every order improve quality,neutral
222,Tea Trails Cafe,4.1,"Cafe, Tea, Fast Food, Beverages, Shake","1,100",pune,miss whipped cream,positive
223,Tea Trails Cafe,4.1,"Cafe, Tea, Fast Food, Beverages, Shake","1,100",pune,tasteless food worst cold coffee ever,positive
224,Tea Trails Cafe,4.1,"Cafe, Tea, Fast Food, Beverages, Shake","1,100",pune,store dining online delivery product taste quality different better,positive
225,Cafe Time Out,,"Cafe, Coffee, Fast Food, Pizza, Burger, Sandwich, Shake, Beverages",450,pune,good taste,neutral
226,Aptez Dosa Cafe,,"South Indian, Maharashtrian, Cafe",400,pune,cooked properly even fresh,neutral
227,Aptez Dosa Cafe,,"South Indian, Maharashtrian, Cafe",400,pune,test worst,neutral
228,GoodFellas Cafe,4.5,"Cafe, Fast Food, Italian, Desserts, Beverages, Coffee",650,pune,first time ever left cafè tears joy state pure bliss place completely transformed whole idea food ritual eating moods transforms ingredients art short recommend highly enough even table hard come bring,positive
229,GoodFellas Cafe,4.5,"Cafe, Fast Food, Italian, Desserts, Beverages, Coffee",650,pune,well worth wait rarely rate restaurants goodfellas absolutely one kind ask genuine experience money buy life experience truly unbelievable thanks making world better place,positive
230,GoodFellas Cafe,4.5,"Cafe, Fast Food, Italian, Desserts, Beverages, Coffee",650,pune,time back really amazed ambience small cute place eat read books hang ordered three things truly alfredo pasta bubble waffleit nice experience,positive
231,Impresso Espresso Coffee,,"Cafe, Pizza, Burger, Pasta, Fast Food, Beverages",500,pune,awesome,neutral
232,Impresso Espresso Coffee,,"Cafe, Pizza, Burger, Pasta, Fast Food, Beverages",500,pune,nice service n good food quality,neutral
233,Monk & Mongoose Cafe,,"Cafe, Fast Food, Beverages, Sandwich",350,pune,food tasty service good professional sum awesome experience,neutral
234,Monk & Mongoose Cafe,,"Cafe, Fast Food, Beverages, Sandwich",350,pune,tried mango strawberry milkshake impressed consistency thick tasted good newly opened first try disappoint visit try options well,neutral
235,Coffee Saaz,,"Cafe, Fast Food, Sandwich, Coffee, Desserts, Beverages",300,pune,restaurant unprofessional unhygienic packing cold sent cold coffees fries flimsy paper bag tore delivery guy handing order entire order cold coffees spilled doorstep took minutes clean mess coffee made wipe place thrice ensure clean avoid ants safe say ca comment taste need improve packing cold coffees flimsy paper bag big cost us evening refund also read,neutral
236,Cafe Imbibe,,"Cafe, Sandwich, Fast Food, Desserts, Shake, Beverages",600,pune,burger good,neutral
237,Cafe Imbibe,,"Cafe, Sandwich, Fast Food, Desserts, Shake, Beverages",600,pune,love sandwiches,neutral
238,Maverick & Farmer Coffee,3.3,"Cafe, Beverages",500,bangalore,sad see service one favourite spots go badly drinks still good one may well get home delivered fan working downstairs section fans second level sure needs loud music atmosphere would much better without staff never get order one go,neutral
239,Maverick & Farmer Coffee,3.3,"Cafe, Beverages",500,bangalore,food bland horrible especially breakfast menu owners empathy towards customers chicken sandwich supposed sundried tomatoes olives instead filled cheese normal tomatoes jalapenos cold brew tasteless little flavour coffee would definitely avoid,neutral
240,Vedic Chai,3.5,"Cafe, Tea",600,bangalore,ginger chai palak corn sandwich amazing quiet ambience good service good place work,neutral
241,Vedic Chai,3.5,"Cafe, Tea",600,bangalore,horrible service incharge rude know talk customers,neutral
242,Conçu,,"Cafe, Fast Food",500,bangalore,tried cream cheese fava beans toast different combination tastes good together melba iced tea refreshing chunks raspberries great taste overall great place great vibe cant wait try things menu,neutral
243,Conçu,,"Cafe, Fast Food",500,bangalore,ordered box brownies usually come box wrapped around plastic sent,neutral
244,Conçu,,"Cafe, Fast Food",500,bangalore,went lunch concu really good n host warm welcoming service excellent,neutral
245,Mitico Coffee Roasters,4.3,"Cafe, Continental, Italian, Burger, North Indian, Salad, Shake, Beverages","1,100",bangalore,great time,positive
246,Casa Fresco By Tea Brew,4.0,"Cafe, Continental, American, Pasta, Momos, Beverages, Bubble Tea, Burger",950,bangalore,hungry want pass time nice cafe go place make sure eat nicely going items tasteless uncooked presented way wo want eat,positive
247,Casa Fresco By Tea Brew,4.0,"Cafe, Continental, American, Pasta, Momos, Beverages, Bubble Tea, Burger",950,bangalore,taste pasta bad like put boil pasta sauce pasta flavour,positive
248,Banoffee,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts","1,600",bangalore,tom kha chicken soup flavor explosion creamy fragrant packed tender chicken aromatic herbs coconut milk base adds wonderful richness perfectly complemented hints lemongrass galangal,positive
249,Banoffee,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts","1,600",bangalore,shanghai hot sour soup restaurant fantastic balance flavors spot tangy spicy loaded fresh ingredients loved touch authenticity every spoonful definite soup enthusiasts,positive
250,Banoffee,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts","1,600",bangalore,tomato basil soup warmed heart taste buds rich tomato base combined fragrant basil notes resulted comforting flavorful bowl perfect choice lift spirits chilly day,positive
251,Banoffee,4.1,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts","1,600",bangalore,salmon creamcheese bagel offered taste luxury every mouthful creamy cream cheese paired impeccably smoked salmon creating balanced upscale combination,positive
252,Cafe Azzure,3.9,"Cafe, Continental, Mexican, Italian, Fast Food, Desserts, Beverages","1,400",bangalore,refused zomato gold since independence day stupid service,neutral
253,SLAY Coffee Bar,4.8,"Cafe, Coffee, Beverages, Desserts, Bakery, Sandwich, Shake",400,bangalore,slay good last year quality gone completely maybe trying save costs ruined coffee completely even extra espresso shot coffee received extremely weak coffee taste caffeine slay done pathetic job maintaining uniqueness came market please waste money ordering,positive
254,Kana By Coffee Mechanics,,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,ambiance restaurant wonderful inviting atmosphere creating pleasant dining experience service exceptional attentive friendly staff make feel well taken care meal,neutral
255,Kana By Coffee Mechanics,,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,rooftop restaurant one best class hospitality hit miss sometimes good sometimes bad overall take thank recommend everyone,neutral
256,Kana By Coffee Mechanics,,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,good place excellent ambience excellent service food also definitely order thank maintained proper hygienic,neutral
257,Kana By Coffee Mechanics,,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,wonderful place must say pocket friendly yes worth penny pay definitely visit,neutral
258,Kana By Coffee Mechanics,,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages","1,000",bangalore,incredible brunch kana friend today would highly recommend karaage chicken grilled chicken burger delicious food enough quiet serene ambience surely make day staff especially accommodating friendly making overall experience super enjoyable,neutral
259,Tutto Bene - Desserts Cafe by Little Italy,3.6,"Cafe, Coffee, Beverages, Shake, Panini, Italian, Desserts",900,bangalore,kind cafe takes hour making cafe mocha place sham uses place little italy restaurant imagine coffee people italian meals ordered coffee dint come french toast soggy milkshake watery avoid,neutral
260,Tutto Bene - Desserts Cafe by Little Italy,3.6,"Cafe, Coffee, Beverages, Shake, Panini, Italian, Desserts",900,bangalore,visited place day yesterday knew tutto bene frist experience really loved fabulous thing items new concept specially recommend items name cheesy masala simply one word awesome differently visit,neutral
261,Tutto Bene - Desserts Cafe by Little Italy,3.6,"Cafe, Coffee, Beverages, Shake, Panini, Italian, Desserts",900,bangalore,moment step tutto bene instantly transported dessert wonderland quaint whimsical decor perfectly matches charm boutique dessert shop making every visit absolute selection nothing short breathtaking array beautifully crafted desserts rich moist cakes delightfully flaky pastries creatively presented cheesecakes ever seen every dessert appeals taste buds also visual treat reflecting shop commitment quality standout signature lotus biscoff cheesecake bite sends burst read,neutral
262,Kargeens,3.6,"Cafe, Street Food, Chinese, Asian, Mediterranean, Pasta, Pizza, Shake","1,100",bangalore,ruth best waitress could ever ask makes hookah besttt,neutral
263,Kargeens,3.6,"Cafe, Street Food, Chinese, Asian, Mediterranean, Pasta, Pizza, Shake","1,100",bangalore,place really great ambience especially staff good especially sapu kimi thank soo much great service,neutral
264,Kargeens,3.6,"Cafe, Street Food, Chinese, Asian, Mediterranean, Pasta, Pizza, Shake","1,100",bangalore,good restaurants nice staff specially staff name nitolu gud guy,neutral
265,Kargeens,3.6,"Cafe, Street Food, Chinese, Asian, Mediterranean, Pasta, Pizza, Shake","1,100",bangalore,great ambiance food superb service hospitality ms ruth alitywill definitely visit,neutral
266,Cool Street,,"Cafe, Coffee, Ice Cream, Desserts, Juices, Shake, Beverages",400,bangalore,happy service,neutral
267,The Coffee Brewery,4.3,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages","1,400",bangalore,place amazing food also amazing perfect place want spend good quite time friends bunch games well play friends,positive
268,The Coffee Brewery,4.3,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages","1,400",bangalore,white pasta veg cheese meggy item nut latte cappuccino hot coffee cold coffee nice,positive
269,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,arrived placed order took whole minutes first item delivered gnocchi pesto pasta disappointing gnocchi resembling mush lacking texture order ratatouille akin mixed vegetables rather traditional dish thankfully drinks nice providing solitary redeeming factor occurred gnocchi pasta initially delivered wrong table subsequently brought us unacceptable mistake overall farmhouse used quality restaurant standards evidently declined sadly see making comeback done,neutral
270,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,usually dish made tomato based gravy buying last years restaurant atleast month first time dish bad seems like ran tomato gravy sent roasted veggies disappointing,neutral
271,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,food awfully,neutral
272,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,keep coming back food ambience place staff courteous,neutral
273,The Farmhouse Kitchen & Bakery,3.5,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts","1,200",bangalore,nice place soothing ambience staff courteous humble margherita pizza blt sandwitch mango milkshake brownie ice cream shakes ok overpriced blt sandwitch portion size good dry pallate brownie prepared right balance sugar loved must try overall price menu costed rs rs,neutral
274,Secret Spot Cafe,4.0,"Cafe, Coffee, Sandwich, Burger, Italian, Fast Food, Desserts, Beverages",700,bangalore,worst ever experience bangalore peri peri fries red chilli fries pasta weird taste staff know anything,positive
275,Secret Spot Cafe,4.0,"Cafe, Coffee, Sandwich, Burger, Italian, Fast Food, Desserts, Beverages",700,bangalore,cockroach sofa came table well,positive
276,HumbleBean Coffee,4.0,"Cafe, Coffee, Beverages, Bakery, Desserts, Healthy Food, ",650,bangalore,hello humblebean coffee humble request change name orissa old odisha new since decade name gotten new touch yet many people aware kudos wonderful team ambience fabulous home blend section part mentioned koraput coffee orissa old please change odisha let humbleeee,positive
277,The Coffee House,4.0,"Cafe, North Indian, Fast Food, South Indian, Street Food, Beverages, Desserts",600,bangalore,good,positive
278,Fresh Pressery Cafe,4.2,"Cafe, Healthy Food, Fast Food, Sandwich, Beverages, Desserts","1,400",bangalore,taste acai bowl horrible,positive
279,Fresh Pressery Cafe,4.2,"Cafe, Healthy Food, Fast Food, Sandwich, Beverages, Desserts","1,400",bangalore,got wrong order,positive
280,TROT - The Republic Of Taste,,"Cafe, Coffee, Beverages, Salad, Mexican, Desserts",450,bangalore,value money good quantity quality best packaging,neutral
281,Ciciana,3.7,"Cafe, Coffee, Italian, Fast Food, Salad, Desserts, Beverages","1,200",bangalore,ordered sloppy joe chicken burger chicken club sandwich vietnamese coffee rating food convenience fellow foodies sloppy joe spicy food lovers recommended amazingly good bit spicer side image chicken club sandwich non spicy mild taste recommend sandwich lovers huge tasty good satisfy hunger two forgot capture picture vietnamese coffee needs improvement nothing like real vietnamese coffee bit bitter,neutral
282,Ciciana,3.7,"Cafe, Coffee, Italian, Fast Food, Salad, Desserts, Beverages","1,200",bangalore,packaging different like new packaging,neutral
283,Ciciana,3.7,"Cafe, Coffee, Italian, Fast Food, Salad, Desserts, Beverages","1,200",bangalore,visited pretty italian restaurant catchup friend interiors quite aesthetic separate smoking sitting area started shakes mocktails nice farmhouse pizza loaded veggies tasted pretty good hurry try items desserts also looked quite tempting service also good,neutral
284,Blue Tokai Coffee Roasters,4.3,"Cafe, Coffee, Healthy Food, Beverages, Desserts, American, Burger, Sandwich","1,200",bangalore,always packaging hygienic sustainable material food hearty rating mustard bit wrap making tangy needed,positive
285,The Pet People Cafe,4.1,"Cafe, Beverages, American, Italian, Asian, Desserts, Bakery, Coffee","1,200",bangalore,perfect place pet lovers mean place definitely got cute vibe sit idle keep enjoying vibe pets around food delicious multi cuisine servedwide menu allows choose fromit one place everythingtoy shoppet clinic pet cafejust loved must visit,positive
286,The Pet People Cafe,4.1,"Cafe, Beverages, American, Italian, Asian, Desserts, Bakery, Coffee","1,200",bangalore,passing area quite sometimes always wanted cats feel like good place groom cats food look delicious right helped understand lot outs grooming area even consultation doctor cafe really enjoy vietnamese feel like would good place wait take pets best person connect everyone friendliest character come visit soon,positive
287,The Pet People Cafe,4.1,"Cafe, Beverages, American, Italian, Asian, Desserts, Bakery, Coffee","1,200",bangalore,staff friendly welcoming dog treated like vip tried orange drink coffee latte veg rolls japanese fried rice basil noodles everything delicious cafe also wide variety pet toys food veterinary services great shop pet lovers,positive
288,Haru Asian Bistro,3.9,"Cafe, Coffee, Japanese, Thai, Chinese, Sushi, Korean, Beverages","1,000",bangalore,taste good ckn less qry,neutral
289,Haru Asian Bistro,3.9,"Cafe, Coffee, Japanese, Thai, Chinese, Sushi, Korean, Beverages","1,000",bangalore,great,neutral
290,Haru Asian Bistro,3.9,"Cafe, Coffee, Japanese, Thai, Chinese, Sushi, Korean, Beverages","1,000",bangalore,received wrong order unable reach restaurant,neutral
